variation,accuracy,accuracy_female,accuracy_male,ROC/AUC score
0.00,0.5096153846153846,0.5,0.5192307692307693,0.5096153846153846
0.00,0.4519230769230769,0.5,0.40384615384615385,0.4519230769230769
0.00,0.5,0.5,0.5,0.5
0.00,0.5,0.5,0.5,0.5
0.00,0.4230769230769231,0.4423076923076923,0.40384615384615385,0.4230769230769231
0.25,0.49038461538461536,0.5769230769230769,0.40384615384615385,0.4903846153846154
0.25,0.5288461538461539,0.5769230769230769,0.4807692307692308,0.5288461538461539
0.25,0.5,0.5,0.5,0.5
0.25,0.5288461538461539,0.5384615384615384,0.5192307692307693,0.5288461538461539
0.25,0.5192307692307693,0.5384615384615384,0.5,0.5192307692307693
0.50,0.5,0.5384615384615384,0.46153846153846156,0.5
0.50,0.4519230769230769,0.4807692307692308,0.4230769230769231,0.4519230769230769
0.50,0.5,0.5,0.5,0.5
0.50,0.41346153846153844,0.46153846153846156,0.36538461538461536,0.4134615384615385
0.50,0.5288461538461539,0.5961538461538461,0.46153846153846156,0.5288461538461537
0.75,0.5,0.5384615384615384,0.46153846153846156,0.5
0.75,0.4807692307692308,0.5576923076923077,0.40384615384615385,0.4807692307692307
0.75,0.47115384615384615,0.5,0.4423076923076923,0.47115384615384615
0.75,0.46153846153846156,0.4230769230769231,0.5,0.46153846153846156
0.75,0.5,0.5,0.5,0.5
1.00,0.5,0.5,0.5,0.5
1.00,0.4519230769230769,0.5,0.40384615384615385,0.4519230769230769
1.00,0.5,0.5,0.5,0.5
1.00,0.5576923076923077,0.5769230769230769,0.5384615384615384,0.5576923076923077
1.00,0.4807692307692308,0.5,0.46153846153846156,0.4807692307692308
