variation,accuracy,ROC/AUC score
0.00,0.51,0.5099999999999999
0.00,0.53,0.53
0.00,0.58,0.58
0.00,0.48,0.48
0.00,0.5,0.5
0.25,0.51,0.51
0.25,0.52,0.52
0.25,0.51,0.51
0.25,0.49,0.49
0.25,0.46,0.45999999999999996
0.50,0.58,0.5800000000000001
0.50,0.39,0.39
0.50,0.53,0.53
0.50,0.5,0.5
0.50,0.6,0.6
0.75,0.49,0.49
0.75,0.48,0.4800000000000001
0.75,0.55,0.55
0.75,0.57,0.57
0.75,0.44,0.44000000000000006
1.00,0.49,0.49
1.00,0.51,0.51
1.00,0.52,0.52
1.00,0.52,0.52
1.00,0.35,0.35
0.00,0.45,0.45000000000000007
0.00,0.52,0.52
0.00,0.44,0.44
0.00,0.4,0.4
0.00,0.51,0.51
0.25,0.6,0.6
0.25,0.49,0.49
0.25,0.59,0.5900000000000001
0.25,0.47,0.47000000000000003
0.25,0.53,0.5299999999999999
0.50,0.48,0.48
0.50,0.52,0.52
0.50,0.44,0.44
0.50,0.49,0.49000000000000005
0.50,0.51,0.5100000000000001
0.75,0.44,0.43999999999999995
0.75,0.53,0.53
0.75,0.54,0.54
0.75,0.44,0.44
0.75,0.51,0.51
1.00,0.53,0.53
1.00,0.4,0.39999999999999997
1.00,0.46,0.45999999999999996
1.00,0.45,0.45
1.00,0.39,0.39
0.00,0.45,0.44999999999999996
0.00,0.58,0.5800000000000001
0.00,0.47,0.47
0.00,0.51,0.51
0.00,0.5,0.5
0.25,0.53,0.53
0.25,0.53,0.53
0.25,0.53,0.53
0.25,0.54,0.54
0.25,0.47,0.47
0.50,0.52,0.52
0.50,0.51,0.51
0.50,0.44,0.44000000000000006
0.50,0.58,0.58
0.50,0.52,0.52
0.75,0.38,0.38
0.75,0.52,0.52
0.75,0.49,0.49000000000000005
0.75,0.57,0.57
0.75,0.49,0.49000000000000005
1.00,0.49,0.49
1.00,0.5,0.5
1.00,0.55,0.55
1.00,0.58,0.5800000000000001
1.00,0.54,0.54
0.00,0.55,0.55
0.00,0.36,0.36000000000000004
0.00,0.55,0.55
0.00,0.52,0.52
0.00,0.52,0.5199999999999999
0.25,0.52,0.52
0.25,0.55,0.55
0.25,0.48,0.48
0.25,0.51,0.51
0.25,0.43,0.43
0.50,0.54,0.54
0.50,0.49,0.49
0.50,0.39,0.38999999999999996
0.50,0.53,0.5299999999999999
0.50,0.52,0.52
0.75,0.59,0.5900000000000001
0.75,0.5,0.5
0.75,0.51,0.51
0.75,0.43,0.43000000000000005
0.75,0.43,0.43000000000000005
1.00,0.41,0.41
1.00,0.49,0.4900000000000001
1.00,0.5,0.5
1.00,0.56,0.5599999999999999
1.00,0.47,0.47
0.00,0.49,0.49000000000000005
0.00,0.52,0.5199999999999999
0.00,0.5,0.5
0.00,0.54,0.54
0.00,0.47,0.47000000000000003
0.25,0.41,0.4099999999999999
0.25,0.39,0.39000000000000007
0.25,0.54,0.54
0.25,0.47,0.47000000000000003
0.25,0.52,0.52
0.50,0.41,0.41
0.50,0.57,0.57
0.50,0.54,0.54
0.50,0.6,0.6
0.50,0.55,0.55
0.75,0.51,0.51
0.75,0.5,0.5
0.75,0.52,0.52
0.75,0.54,0.5399999999999999
0.75,0.38,0.38
1.00,0.49,0.48999999999999994
1.00,0.52,0.52
1.00,0.59,0.5900000000000001
1.00,0.53,0.53
1.00,0.47,0.4700000000000001
