image_names,compactness,avg_red_channel,avg_green_channel,avg_blue_channel,multicolor_rate,asymmetry,average_hue,average_saturation,average_value
PAT_1000_31_620,13.819321534884603,0.44191658,0.23409729,0.14239715,96.00124520605029,0.39481468047344587,0.05073902,0.69012886,0.44191658
PAT_1006_53_385,15.21182943666765,0.67783356,0.463889,0.31587493,50.77321351323955,1.6857533499616109,0.06827586,0.5361556,0.67783356
PAT_1006_53_716,28.669224006301217,0.56221884,0.42016605,0.33692968,75.35490401955403,1.5211208984954911,0.06233912,0.4045014,0.56221884
PAT_1008_59_297,12.433584385773003,0.3979358,0.2945715,0.23070286,116.66735790726081,0.48672546955764107,0.07830665,0.45333138,0.3985297
PAT_100_393_898,10.29612763484538,0.5305146,0.35878304,0.32931924,131.06943478569747,0.2022149689065499,0.06800223,0.3886586,0.5305146
PAT_1013_82_876,9.663320946314046,0.62676495,0.5022269,0.5154468,78.79356669439194,0.10398987759984389,0.62221324,0.21298988,0.627518
PAT_1014_86_861,10.05568993113583,0.6837247,0.52235055,0.5137471,70.28957771296997,0.14588889285433224,0.253782,0.25473553,0.68372506
PAT_1017_97_577,7.7153034995714584,0.6296221,0.3102807,0.3460227,46.15423538507822,,0.9059041,0.5106934,0.6296221
PAT_1018_107_68,9.955195770230215,0.7597597,0.42961267,0.32513884,25.28338421850114,0.5439903047248746,0.040008523,0.5727135,0.7597597
PAT_101_1041_651,8.836286983236342,0.4382982,0.35558683,0.30678672,98.58723158215551,0.12465692781389566,0.079403475,0.3026337,0.43972045
PAT_101_1041_658,9.44806729308778,0.4299862,0.34747067,0.2972426,54.692438932318666,0.05482512949754418,0.0795883,0.3124782,0.43121642
PAT_101_1041_898,9.889549107288106,0.731659,0.43345916,0.35253736,98.75976179025437,0.22222826214145383,0.035780076,0.5227956,0.731659
PAT_1020_111_593,7.252630318111686,0.60914624,0.42547157,0.34130678,19.598945502382065,0.22807302000384713,0.05239072,0.44107297,0.60914624
PAT_1021_112_40,11.17416183250847,0.73196256,0.46388155,0.39288747,39.97504052148028,0.42932202525893054,0.0352426,0.46363002,0.73196256
PAT_1022_114_756,9.087512808857845,0.6444605,0.5323154,0.5284603,42.43324359762636,0.40711523572747566,0.44209936,0.19826281,0.6444616
PAT_1022_115_132,34.07223618009568,0.5103043,0.3679634,0.31032637,83.35523474303515,,0.07241985,0.39378905,0.5103043
PAT_1026_124_346,7.660040366914593,0.82993424,0.48606598,0.5331425,39.9964378075477,0.19640757699705338,0.9771405,0.41513318,0.82993424
PAT_1027_128_854,12.960560053808372,0.7312528,0.46217197,0.41366416,58.157701203344885,2.008124563950295,0.025449531,0.44084176,0.7312528
PAT_1029_135_239,8.941822757707111,0.6986448,0.49868596,0.48218727,44.826931034510515,0.4168512330630317,0.031238535,0.31159258,0.6986448
PAT_1029_135_983,10.605706733459728,0.7989016,0.54801774,0.59558785,58.67131337385169,,0.96790236,0.3161867,0.7989016
PAT_1031_148_66,17.89381886581924,0.6424384,0.43991318,0.37754804,26.918688762796787,1.214495140836763,0.10252015,0.41374806,0.6424384
PAT_1033_153_301,7.68259016909437,0.63794667,0.49777362,0.5647355,19.076896492184026,0.10230163548055599,0.9201179,0.21972708,0.63794667
PAT_1034_161_203,17.044344964892442,0.6869959,0.49604058,0.44121754,61.25037749574483,1.193124626284728,0.036675893,0.36130697,0.6869959
PAT_1035_165_800,29.422793438424524,0.55886084,0.4673362,0.37778878,64.44142468451221,1.6270372184701802,0.08290003,0.3273692,0.55886084
PAT_1036_169_687,25.28449175738577,0.65559137,0.50030416,0.36473754,43.09622488054583,2.064030063221994,0.07796493,0.44431943,0.65559137
PAT_1042_187_746,24.47599771622022,0.6125918,0.52717656,0.501591,65.82011468323668,2.0528262608715906,0.14812937,0.18401839,0.6125918
PAT_104_1754_276,8.469831147341633,0.67906874,0.61912125,0.6272377,96.33839571683373,0.09752058674487048,0.52980065,0.12423672,0.689487
PAT_1051_220_356,8.310979259183792,0.8299643,0.75446784,0.72584707,57.26087123151364,0.19625732960635164,0.04837843,0.12663327,0.82997465
PAT_1057_242_297,8.282097440315207,0.52841264,0.39478803,0.34454313,41.70920536032834,0.08329790067914704,0.0472769,0.35018712,0.52841264
PAT_1061_254_813,8.838222866170678,0.57770914,0.5414662,0.5292488,42.187020765711814,0.08104740784828011,0.3453208,0.09289225,0.57957095
PAT_1062_264_741,9.097689423314677,0.59886074,0.34486097,0.34742597,54.038215351208635,0.3095479018282575,0.5310016,0.4450712,0.59886074
PAT_1063_268_919,8.159397093734245,0.794984,0.620602,0.59519005,35.64987445026195,0.11987945858614517,0.050828908,0.25203618,0.794984
PAT_1063_270_593,12.303947165387287,0.7794033,0.52690065,0.4210237,61.50443565137928,0.4879969926353805,0.050080515,0.46146822,0.7794033
PAT_1063_271_448,7.675249991047758,0.75967216,0.5832199,0.5364331,39.65136065365917,0.10817145105182936,0.12879314,0.2970723,0.75967216
PAT_1064_272_668,9.830855808550265,0.37356383,0.39036226,0.38395113,61.35313203553076,0.29841512133488185,0.4210651,0.0876939,0.39723933
PAT_1064_273_980,8.594083426056903,0.6789143,0.6349073,0.6854654,79.22119299660723,0.2494308308843899,0.78558576,0.17059219,0.736048
PAT_1065_276_231,7.566950858685955,0.7253435,0.5339891,0.525404,29.784610178105368,0.20082269696622554,0.21396689,0.28105995,0.7253435
PAT_1065_278_954,8.567050845292464,0.63155043,0.51186943,0.54067177,48.66800309802777,0.12253007038224584,0.80520165,0.19460538,0.63326764
PAT_1066_281_698,8.758464619587153,0.7515339,0.6568385,0.6189277,104.87835427467029,0.2497849560584321,0.14629792,0.18672152,0.75314474
PAT_1066_281_99,7.51751032574498,0.80199105,0.72148895,0.73113275,76.49282663580419,0.09330448939711623,0.58854455,0.11497165,0.8036602
PAT_1067_284_533,8.079600923774457,0.7554697,0.71915066,0.73213106,55.584574972518396,0.14281223212842575,0.57810205,0.09058262,0.7726396
PAT_1068_285_845,9.782217552564122,0.6090264,0.5118029,0.4759817,102.31723408510099,0.3866932143743229,0.049729135,0.2212615,0.6090264
PAT_106_158_249,10.669478636906787,0.6404324,0.47285643,0.4902253,113.49393613714669,0.4634008758737624,0.67232066,0.27750176,0.64044446
PAT_106_158_270,11.06956133713644,0.66842306,0.5217507,0.5128248,108.30785014500873,0.352109925195907,0.4114751,0.2571499,0.6684291
PAT_106_159_325,10.207449472757974,0.53498846,0.23546363,0.21348289,33.69738157667882,0.23133818598542544,0.24253751,0.61485,0.53498846
PAT_1070_304_845,210.0605485299344,0.6841923,0.47065496,0.42316002,96.99195756351268,1.5999655709388103,0.12920468,0.38768008,0.6841923
PAT_1070_305_907,10.050801889506946,0.63441986,0.37630492,0.34683445,20.60533206069899,0.12152397104489239,0.12084983,0.45782703,0.63441986
PAT_1070_308_751,9.357754978508215,0.66885966,0.45952246,0.38881597,76.71362872442246,0.2732388614672527,0.042187747,0.4225987,0.66885966
PAT_1071_312_841,11.371275699648072,0.43398774,0.33550763,0.2757495,52.72181629332219,0.327176945986827,0.063169755,0.36355424,0.43398774
PAT_1071_314_500,18.04813543613922,0.7254874,0.5303884,0.50491333,39.92931080416009,0.5474888429515176,0.10817094,0.30788788,0.7254874
PAT_1074_322_174,12.004119596919942,0.61985147,0.5208057,0.46878016,77.01214589026411,0.4048787912090723,0.058897555,0.24875715,0.61985147
PAT_1074_322_242,7.023568636781199,0.5767559,0.47675234,0.41815755,51.86160748054488,1.1725954837017174,0.06805129,0.28095186,0.5767793
PAT_1074_322_662,22.788675992137165,0.3657973,0.29498369,0.25156352,77.95991189872335,2.079464824064832,0.07242104,0.33257335,0.36613265
PAT_1074_322_864,8.02909031629998,0.7217018,0.4932376,0.45604777,70.99136375760995,0.14216608139877293,0.078239344,0.37451223,0.7217018
PAT_1075_324_177,8.1656860677606,0.61445844,0.5616546,0.51953036,46.34873438743229,0.26265011844730474,0.075018264,0.15528211,0.61445844
PAT_107_160_609,8.819758783388586,0.53586626,0.49770764,0.42107925,90.72861650136464,0.22042727367765644,0.13612853,0.23245738,0.5400133
PAT_1082_342_705,8.206255109081516,0.5398247,0.38804516,0.31600204,35.67823505321423,0.22121532175759376,0.054468766,0.41859356,0.5398247
PAT_1088_373_781,39.47124244666598,0.8502269,0.5725954,0.44575167,30.666622394103406,1.8955103026983025,0.05237006,0.47745782,0.8502269
PAT_1089_375_60,8.490123095614367,0.73723346,0.58477753,0.5379506,107.6689715111896,0.10390256278190763,0.058535352,0.27926794,0.73723346
PAT_1089_375_677,7.561271772019847,0.75809205,0.5412996,0.528195,80.5902623828485,0.1684971038753549,0.10677647,0.30683404,0.75809205
PAT_108_161_423,9.53369823821833,0.52225626,0.41574216,0.36579648,126.63102939775828,0.1810027046421426,0.2942627,0.3206572,0.5257061
PAT_108_161_575,10.203939938219934,0.6139495,0.4865371,0.44202757,131.0393344507622,0.19969374289760142,0.38996986,0.30116498,0.6148594
PAT_108_161_878,9.968556365094724,0.59527034,0.43547225,0.46267605,100.709359149031,0.1675965809741575,0.86036676,0.28652292,0.5982192
PAT_108_162_526,9.218758298210696,0.70898557,0.5949477,0.49487746,128.4028109632822,,0.08517754,0.3220951,0.70954174
PAT_108_162_660,8.740813292960395,0.5601166,0.48176473,0.4560119,74.50556949227789,0.07005765593325697,0.13060588,0.19992766,0.5613537
PAT_108_424_944,60.53350093301142,0.5815711,0.5558822,0.5018394,121.88730994387399,1.5498641979704064,0.13518466,0.15378992,0.58594465
PAT_1090_376_384,9.034306890408754,0.98413444,0.6588027,0.53219473,38.073010064923025,0.2298188468169927,0.046968017,0.45963702,0.98413444
PAT_1092_378_922,16.937651609980424,0.7306976,0.41204154,0.3468003,51.476071597726985,0.6332052268528391,0.028145239,0.52883464,0.7306976
PAT_1094_381_446,20.29531636216626,0.8508015,0.5265587,0.39242083,38.39826969256808,,0.04878124,0.54010874,0.8508015
PAT_1094_381_85,42.91270863938308,0.81341845,0.5235038,0.37635362,103.33917711249649,2.237553788045553,0.05603515,0.5433138,0.81341845
PAT_109_868_113,9.884553603939336,0.38237143,0.25330368,0.19016589,42.28366471705149,0.19312075055087327,0.05336811,0.49406746,0.38237143
PAT_109_868_723,8.931702925887675,0.3136289,0.19540434,0.1554634,67.15095186880528,0.3021137307194711,0.040035103,0.5315234,0.3136289
PAT_10_18_830,10.009661856743856,0.82828337,0.67565817,0.6183503,119.69407350987875,0.2701362752507712,0.051392213,0.26013702,0.82828337
PAT_1100_402_375,9.064637383373427,0.5284715,0.4718382,0.46351933,34.68395087491309,0.1772735822287038,0.19206259,0.12781124,0.5285954
PAT_1102_408_613,7.589393703830535,0.6690336,0.48276457,0.48608342,46.272141448854725,0.12511065663981444,0.5020364,0.28510886,0.6690336
PAT_1105_420_520,11.581323776195259,0.42647892,0.38226718,0.34879968,52.938087533124076,0.36651443298876574,0.07752472,0.18411557,0.42648825
PAT_1107_427_352,9.336485070146928,0.42427027,0.32393408,0.27590314,73.81051424268297,0.08236541754782269,0.054832973,0.35973474,0.42427066
PAT_1109_436_141,8.685616863464029,0.35772145,0.18683355,0.17270857,71.75286315736248,0.08716612404325687,0.058594782,0.52963346,0.35772145
PAT_1109_437_254,9.143442997712564,0.2008164,0.14054643,0.12738658,75.25534545232539,0.08508561403860489,0.04930553,0.4025026,0.20090005
PAT_110_165_583,9.44908044260774,0.6058996,0.50246483,0.4721182,32.991542845387976,0.21844654186151816,0.088390246,0.22592673,0.60623825
PAT_1113_458_387,9.380730618589325,0.36193278,0.4091122,0.41201276,177.82831269883332,0.09721769506583688,0.41889754,0.15438443,0.4211321
PAT_1118_470_710,8.671147299332691,0.65381306,0.51933736,0.4355095,42.943470697993654,0.1503976982285251,0.06377043,0.3378117,0.65381306
PAT_1122_479_664,9.248218243200723,0.5740496,0.5490168,0.49514884,81.74740749366359,0.1021759957053463,0.13560982,0.14877556,0.5777592
PAT_1124_489_151,10.574361332146921,0.60319805,0.53463787,0.5759252,47.618914381056584,0.23771300395480666,0.8054357,0.12456604,0.6074927
PAT_1125_492_523,8.029557483708386,0.52455246,0.52022,0.5360314,51.811738903910054,0.0879279895005351,0.58071584,0.11652599,0.5604893
PAT_1128_497_29,20.437639926724064,0.6950227,0.45501775,0.33684346,38.24299520224116,0.6264743503129273,0.054898005,0.5183828,0.6950227
PAT_1129_498_930,11.073937623803703,0.5790416,0.36070582,0.33202615,127.82426127135079,0.1947727892229857,0.0620527,0.4442901,0.5790416
PAT_112_171_863,8.892177150513485,0.5050612,0.36923555,0.38964254,65.16403846703332,0.17915887686638307,0.76773906,0.27612817,0.5050775
PAT_1130_501_181,10.633486181969477,0.6572962,0.3818295,0.27180198,71.39539724627046,0.4276613072621098,0.047305703,0.5987427,0.6572962
PAT_1132_508_325,9.420383504058952,0.6163271,0.5280973,0.5311355,38.55393592664179,0.3015303953499229,0.5072766,0.16043949,0.61633044
PAT_1133_510_956,33.47666601806147,0.60600126,0.47512326,0.4709644,121.3628824891817,,0.38649842,0.25406727,0.6061597
PAT_1136_517_92,8.746821939963798,0.4819131,0.34821737,0.3217545,55.95582889406492,0.19112052969890678,0.03785021,0.333557,0.4819131
PAT_1138_520_154,10.842242151775773,0.42801234,0.27740183,0.25879267,54.760578449305854,0.1500353428973565,0.045375183,0.41206664,0.42801234
PAT_1139_523_682,17.80646483143122,0.7237261,0.6088,0.61185956,120.55112718210614,,0.5215641,0.1753129,0.72380275
PAT_113_172_610,9.118354627521699,0.66164374,0.4199236,0.39972103,64.38132662634594,0.22750173012317396,0.10493668,0.40403858,0.6616439
PAT_1141_526_416,19.649422560739005,0.941111,0.60919374,0.53558785,65.79476881770184,1.4157948285088242,0.030194331,0.43375397,0.941111
PAT_1145_534_529,8.408180623020204,0.6246362,0.46051067,0.4074035,89.36908914465346,,0.11588248,0.35204792,0.6246362
PAT_1148_542_708,8.208298144080812,0.46157342,0.3339694,0.30448633,78.4113726910195,0.04717435335741455,0.15785363,0.3445904,0.46157342
PAT_114_173_213,13.23101550470394,0.7699701,0.45528185,0.40085086,131.94464852366022,0.4421407451247421,0.04688881,0.4918241,0.7699712
