variation,accuracy,best_params,best_score,roc_auc
0.00,0.8048780487804879,"{'svm__C': 0.01, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.8048780487804879,0.7715549005158437
0.00,0.7439024390243902,"{'svm__C': 0.5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.7560975609756098,0.6064560439560439
0.00,0.7317073170731707,"{'svm__C': 0.5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 1000}",0.7804878048780488,0.6284340659340659
0.00,0.7682926829268293,"{'svm__C': 0.01, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 50}",0.8048780487804879,0.6096774193548387
0.00,0.7439024390243902,"{'svm__C': 0.1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 100}",0.8170731707317073,0.5800000000000001
0.25,0.6829268292682927,"{'svm__C': 0.05, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 100}",0.6951219512195121,0.5517241379310345
0.25,0.7560975609756098,"{'svm__C': 0.05, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.8048780487804879,0.7509211495946941
0.25,0.7439024390243902,"{'svm__C': 0.05, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 50}",0.8170731707317073,0.7147368421052632
0.25,0.8902439024390244,"{'svm__C': 0.5, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.8292682926829268,0.8386363636363636
0.25,0.8292682926829268,"{'svm__C': 5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.8048780487804879,0.760343481654957
0.50,0.7682926829268293,"{'svm__C': 0.5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 100}",0.8048780487804879,0.5476190476190477
0.50,0.8170731707317073,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.8048780487804879,0.7119252873563219
0.50,0.8414634146341463,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.8048780487804879,0.718939393939394
0.50,0.8414634146341463,"{'svm__C': 2, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.7926829268292683,0.7837140751658069
0.50,0.5487804878048781,"{'svm__C': 5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.7317073170731707,0.482051282051282
0.75,0.6097560975609756,"{'svm__C': 0.5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 50}",0.7317073170731707,0.5391483516483516
0.75,0.8170731707317073,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.7804878048780488,0.7115384615384616
0.75,0.4878048780487805,"{'svm__C': 0.01, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 100}",0.6951219512195121,0.589102564102564
0.75,0.7926829268292683,"{'svm__C': 0.05, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 100}",0.8292682926829268,0.5
0.75,0.7560975609756098,"{'svm__C': 0.01, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 50}",0.7682926829268293,0.5550351288056206
1.00,0.7804878048780488,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.7195121951219512,0.6896551724137931
1.00,0.7073170731707317,"{'svm__C': 0.05, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 50}",0.7926829268292683,0.5985964912280701
1.00,0.7804878048780488,"{'svm__C': 0.1, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.7439024390243902,0.7259615384615384
1.00,0.8170731707317073,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.8292682926829268,0.6236424394319131
1.00,0.7439024390243902,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 50}",0.7804878048780488,0.5936768149882904
0.00,0.8048780487804879,"{'svm__C': 0.05, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.8048780487804879,0.5789473684210527
0.00,0.8902439024390244,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.8536585365853658,0.8478835978835979
0.00,0.8414634146341463,"{'svm__C': 0.5, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.8414634146341463,0.8452380952380953
