variation,accuracy,accuracy_female,accuracy_male,ROC,ROC_female,ROC_male
0.00,0.6730769230769231,0.6538461538461539,0.6923076923076923,0.7004437869822485,0.7189349112426036,0.6908284023668639
0.00,0.6346153846153846,0.6153846153846154,0.6538461538461539,0.6198224852071006,0.6597633136094674,0.6020710059171597
0.00,0.6346153846153846,0.5576923076923077,0.7115384615384616,0.7244822485207101,0.680473372781065,0.7840236686390534
0.00,0.625,0.6538461538461539,0.5961538461538461,0.7015532544378698,0.7130177514792899,0.6997041420118344
0.00,0.7019230769230769,0.6923076923076923,0.7115384615384616,0.7385355029585798,0.6893491124260355,0.7943786982248521
0.25,0.5673076923076923,0.6153846153846154,0.5192307692307693,0.6701183431952663,0.7751479289940829,0.5739644970414202
0.25,0.7403846153846154,0.7307692307692307,0.75,0.7803254437869822,0.7825443786982249,0.7825443786982248
0.25,0.6346153846153846,0.6538461538461539,0.6153846153846154,0.6823224852071006,0.7218934911242603,0.6420118343195267
0.25,0.6634615384615384,0.7115384615384616,0.6153846153846154,0.7226331360946745,0.8210059171597632,0.6449704142011834
0.25,0.6442307692307693,0.6538461538461539,0.6346153846153846,0.7466715976331362,0.7995562130177514,0.6930473372781065
0.50,0.6730769230769231,0.6346153846153846,0.7115384615384616,0.7370562130177514,0.7174556213017751,0.7618343195266273
0.50,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7781065088757396,0.8136094674556213,0.7366863905325444
0.50,0.6057692307692307,0.5961538461538461,0.6153846153846154,0.6947115384615384,0.7677514792899408,0.6213017751479291
0.50,0.5673076923076923,0.5769230769230769,0.5576923076923077,0.5417899408284024,0.6227810650887574,0.45784023668639057
0.50,0.6153846153846154,0.6346153846153846,0.5961538461538461,0.632026627218935,0.6745562130177515,0.5784023668639053
0.75,0.6730769230769231,0.7307692307692307,0.6153846153846154,0.7259615384615384,0.779585798816568,0.6494082840236686
0.75,0.7307692307692307,0.7115384615384616,0.75,0.7877218934911242,0.8076923076923077,0.7795857988165681
0.75,0.6153846153846154,0.6538461538461539,0.5769230769230769,0.5649038461538461,0.5798816568047337,0.5251479289940828
0.75,0.6923076923076923,0.6153846153846154,0.7692307692307693,0.7455621301775148,0.7248520710059172,0.7899408284023668
0.75,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6867603550295859,0.7278106508875739,0.643491124260355
1.00,0.7307692307692307,0.6923076923076923,0.7692307692307693,0.8054733727810651,0.7840236686390533,0.8165680473372782
1.00,0.7211538461538461,0.7115384615384616,0.7307692307692307,0.7790310650887574,0.7359467455621301,0.8210059171597632
1.00,0.6826923076923077,0.6923076923076923,0.6730769230769231,0.8045488165680472,0.8402366863905325,0.7736686390532544
1.00,0.6538461538461539,0.6923076923076923,0.6153846153846154,0.79271449704142,0.7492603550295858,0.841715976331361
1.00,0.6346153846153846,0.6346153846153846,0.6346153846153846,0.6298076923076923,0.650887573964497,0.6153846153846153
